point_id,site,date,woody_plant_sp,DBH,%lich_0cmN,%lich_50cmN,%lich_100cmN,%lich_150cmN,%lich_0cmS,%lich_50cmS,%lich_100cmS,%lich_150cmS,%north,%south,%all,lichen1,lichen2,lichen3,lichen4,lichen5,lichen6,lichen7,NoGenera,Comments
point_3,EREC,15_may,black locust,37.6,0,0,0,0,0,0.5,3,5,0,2.125,1.0625,Phaeophyscia,,,,,,,1,
point_3,EREC,15_may,hackberry,14.5,0,0.5,2,1,0,0.5,2,2,0.875,1.125,1,Phaeophyscia,,,,,,,1,
point_3,EREC,15_may,black cherry snag,15.6,0,0,2,0.5,0,0.5,0.5,0.5,0.625,0.375,0.5,Phaeophyscia,,,,,,,1,
point_3,EREC,15_may,honeysuckle,10,0,0,0,0.5,0,0,0,0,0.125,0,0.0625,Phaeophyscia,,,,,,,1,
point_3,EREC,15_may,hackberry,32.4,0,0,1,3,0,0,0,0,1,0,0.5,Phaeophyscia,,,,,,,1,
point_8,EREC,23_june,black walnut,24.5,0,0.5,0.5,1,0,1,4,5,0.5,2.5,1.5,Candelaria,Phaeophyscia,,,,,,2,
point_8,EREC,23_june,black locust,34.2,0,0,0,0,0,0.5,1,2,0,0.875,0.4375,Candelaria,Phaeophyscia,,,,,,2,
point_8,EREC,23_june,hackberry,19.7,0,0,0,0,0,0,0,5,0,1.25,0.625,Candelaria,Phaeophyscia,,,,,,2,
point_8,EREC,23_june,honeysuckle,10.7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,
point_8,EREC,23_june,black cherry,18.1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,
point_9,EREC,29_may,honeysuckle,11.7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,
point_9,EREC,29_may,honeysuckle,11.3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,
point_9,EREC,29_may,hackberry,23.8,0,0,0,0,0,0,0,0.5,0,0.125,0.0625,Candelaria,,,,,,,1,
point_9,EREC,29_may,hackberry,13.1,0,0.5,0.5,2,0,1,15,5,0.75,5.25,3,Phaeophyscia,Candelaria,,,,,,2,
point_9,EREC,29_may,black cherry,13.2,0,0.5,1,2,0,0.5,3,5,0.875,2.125,1.5,Punctelia,Phaeophyscia,Candelaria,,,,,3,
point_10,EREC,19_may,chinkapin oak,11.8,0.5,5,10,5,0,3,5,5,5.125,3.25,4.1875,Parmotrema,Candelaria,Physcia,Phaeophyscia,,,,4,
point_10,EREC,19_may,white ash,17.4,0,0,1,3,0,2,3,3,1,2,1.5,Candelaria,Physcia,Phaeophyscia,,,,,3,
point_10,EREC,19_may,black locust,14.5,0,0,8,20,0,0.5,1,3,7,1.125,4.0625,Phaeophyscia,Candelaria,Physcia,,,,,3,
point_10,EREC,19_may,bur oak,10,0,0,0.5,3,0,0,2,12,0.875,3.5,2.1875,Phaeophyscia,Candelaria,Physcia,,,,,3,
point_10,EREC,19_may,red oak,18,0,1,0.5,0,0,0.5,0,0,0.375,0.125,0.25,Phaeophyscia,,,,,,,1,
point_11,EREC,28_may,black locust,27.2,0,0.5,1,2,0,0,3,2,0.875,1.25,1.0625,Candelaria,Phaeophyscia,,,,,,2,
point_11,EREC,28_may,black locust,15.8,0,0,20,3,0,0,1,3,5.75,1,3.375,Phaeophyscia,,,,,,,1,
point_11,EREC,28_may,red oak,11,0,0.5,5,5,0,5,2,0.5,2.625,1.875,2.25,Candelaria,Phaeophyscia,,,,,,2,
point_11,EREC,28_may,red oak,10.4,0,15,5,3,0,0.5,8,0,5.75,2.125,3.9375,Candelaria,Phaeophyscia,Parmotrema ,Physcia,,,,4,
point_11,EREC,28_may,bur oak,13.7,0,0.5,5,6,0,0.5,3,10,2.875,3.375,3.125,Candelaria,Phaeophyscia,Punctelia,,,,,3,
