point_id,site,date,woody_plant_sp,DBH,
point_3,EREC,15_may,black locust,36.8,
point_3,EREC,15_may,black locust,26.2,
point_3,EREC,15_may,black locust,18.5,
point_3,EREC,15_may,black locust,20.4,
point_3,EREC,15_may,black locust,15.9,
point_3,EREC,15_may,black locust,26.5,
point_3,EREC,15_may,black locust,12,
point_3,EREC,15_may,black locust,57,
point_3,EREC,15_may,black locust,37.6,
point_3,EREC,15_may,black locust,25.5,
point_3,EREC,15_may,black locust,43,
point_3,EREC,15_may,black locust,19.3,
point_3,EREC,15_may,black locust,28.3,
point_3,EREC,15_may,black locust,36.6,
point_3,EREC,15_may,black locust,31,
point_3,EREC,15_may,black locust,68,
point_3,EREC,15_may,black locust,29.5,
point_3,EREC,15_may,black locust,12,
point_3,EREC,15_may,hackberry,20.8,
point_3,EREC,15_may,hackberry,19.3,
point_3,EREC,15_may,hackberry,22.7,
point_3,EREC,15_may,hackberry,14.5,
point_3,EREC,15_may,hackberry,15.3,
point_3,EREC,15_may,hackberry,31.3,
point_3,EREC,15_may,hackberry,28.5,
point_3,EREC,15_may,hackberry,12.7,
point_3,EREC,15_may,hackberry,32.4,
point_3,EREC,15_may,hackberry,23,
point_3,EREC,15_may,honeysuckle,10,
point_3,EREC,15_may,honeysuckle,10,
point_3,EREC,15_may,snag - black cherry,15.6,
point_3,EREC,15_may,snag - black cherry,19.7,
point_8,EREC,23_june,black walnut,24.5,
point_8,EREC,23_june,black walnut,13.7,
point_8,EREC,23_june,black locust,12.7,
point_8,EREC,23_june,black locust,12.3,
point_8,EREC,23_june,black locust,34.2,
point_8,EREC,23_june,black locust,14.1,
point_8,EREC,23_june,black locust,51,
point_8,EREC,23_june,black locust,30.2,
point_8,EREC,23_june,black locust,23.6,
point_8,EREC,23_june,hackberry,20.4,
point_8,EREC,23_june,hackberry,19.7,
point_8,EREC,23_june,hackberry,30.8,
point_8,EREC,23_june,hackberry,10.3,
point_8,EREC,23_june,hackberry,16.7,
point_8,EREC,23_june,hackberry,10.3,
point_8,EREC,23_june,hackberry,17.8,
point_8,EREC,23_june,honeysuckle,11.5,
point_8,EREC,23_june,honeysuckle,10.7,
point_8,EREC,23_june,black cherry,18.1,
point_8,EREC,23_june,black cherry,42.5,
point_8,EREC,23_june,black cherry,23.9,
point_8,EREC,23_june,black cherry,25.2,
point_8,EREC,23_june,pin oak,72.6,
point_9,EREC,29_may,honeysuckle,13.5,
point_9,EREC,29_may,honeysuckle,10.7,
point_9,EREC,29_may,honeysuckle,11.7,
point_9,EREC,29_may,honeysuckle,12.9,
point_9,EREC,29_may,honeysuckle,10.8,
point_9,EREC,29_may,honeysuckle,11.3,
point_9,EREC,29_may,honeysuckle,14.1,
point_9,EREC,29_may,hackberry,30.5,
point_9,EREC,29_may,hackberry,10.6,
point_9,EREC,29_may,hackberry,23.8,
point_9,EREC,29_may,hackberry,16.6,
point_9,EREC,29_may,hackberry,43,
point_9,EREC,29_may,hackberry,12,
point_9,EREC,29_may,hackberry,13.1,
point_9,EREC,29_may,black cherry,13.2,
point_9,EREC,29_may,black cherry,31.1,
point_9,EREC,29_may,black cherry,11.2,
point_10,EREC,19_may,chinkapin oak,11.8,
point_10,EREC,19_may,white ash,17.4,
point_10,EREC,19_may,white ash,11.1,
point_10,EREC,19_may,black locust,14.6,
point_10,EREC,19_may,black locust,14.5,
point_10,EREC,19_may,black locust,14.4,
point_10,EREC,19_may,black locust,14.4,
point_10,EREC,19_may,bur oak,10,
point_10,EREC,19_may,bur oak,11.6,
point_10,EREC,19_may,bur oak,11.4,
point_10,EREC,19_may,bur oak,10.1,
point_10,EREC,19_may,hackberry,10.1,
point_10,EREC,19_may,hackberry,14.2,
point_10,EREC,19_may,red oak,18,
point_11,EREC,28_may,black locust,22.2,
point_11,EREC,28_may,black locust,20.6,
point_11,EREC,28_may,black locust,10.7,
point_11,EREC,28_may,black locust,17.2,
point_11,EREC,28_may,black locust,15.3,
point_11,EREC,28_may,black locust,19.6,
point_11,EREC,28_may,black locust,14.7,
point_11,EREC,28_may,black locust,11,
point_11,EREC,28_may,black locust,12.5,
point_11,EREC,28_may,black locust,17.2,
point_11,EREC,28_may,black locust,10.2,
point_11,EREC,28_may,black locust,12.3,
point_11,EREC,28_may,black locust,16.9,
point_11,EREC,28_may,black locust,13.6,
point_11,EREC,28_may,black locust,16.9,
point_11,EREC,28_may,black locust,16.1,
point_11,EREC,28_may,black locust,19.7,
point_11,EREC,28_may,black locust,15.8,
point_11,EREC,28_may,black locust,12,
point_11,EREC,28_may,red oak,11,
point_11,EREC,28_may,red oak,10.4,
point_11,EREC,28_may,bur oak,13.7,
point_12,EREC,28_may,black locust,37.5,
point_12,EREC,28_may,black locust,23.2,
point_12,EREC,28_may,black locust,19.6,
point_12,EREC,28_may,black locust,17.1,
point_12,EREC,28_may,black locust,45,
point_12,EREC,28_may,black locust,13.2,
point_12,EREC,28_may,black locust,28.1,
point_12,EREC,28_may,black locust,15.5,
point_12,EREC,28_may,black locust,16,
point_12,EREC,28_may,black locust,81,
point_12,EREC,28_may,black locust,35.2,
point_12,EREC,28_may,black locust,23.2,
point_12,EREC,28_may,black locust,16.1,
point_12,EREC,28_may,black locust,19,
point_12,EREC,28_may,black locust,17.4,
point_12,EREC,28_may,black locust,39.2,
point_12,EREC,28_may,black locust_snag,20,
point_12,EREC,28_may,black locust,32.4,
point_12,EREC,28_may,black locust,11.9,
point_12,EREC,28_may,black locust,28.1,
point_12,EREC,28_may,black locust,12.1,
point_12,EREC,28_may,black locust,27.5,
point_12,EREC,28_may,black locust,29,
point_12,EREC,28_may,black locust,17.1,
point_12,EREC,28_may,black locust,42,
point_12,EREC,28_may,black locust,18.6,
point_12,EREC,28_may,hackberry,12.6,
point_12,EREC,28_may,hackberry,39.4,
point_12,EREC,28_may,hackberry,11.1,
point_12,EREC,28_may,hackberry,29,
point_12,EREC,28_may,hackberry,20.7,
point_12,EREC,28_may,hackberry,13.7,
point_12,EREC,28_may,hackberry,27.8,
point_12,EREC,28_may,hackberry,11.6,
point_12,EREC,28_may,hackberry,12.7,
point_12,EREC,28_may,hackberry,22.9,
point_12,EREC,28_may,hackberry,26,
point_12,EREC,28_may,hackberry,24.8,
point_12,EREC,28_may,hackberry,11.7,
point_12,EREC,28_may,hackberry,23.1,
point_12,EREC,28_may,hackberry,11.3,
point_12,EREC,28_may,hackberry,12.2,
point_12,EREC,28_may,honeysuckle,14.7,
point_12,EREC,28_may,honeysuckle,12.7,
point_12,EREC,28_may,honeysuckle,10.8,
point_12,EREC,28_may,honeysuckle,11.3,
point_19,EREC,30_may,black locust,20.8,
point_19,EREC,30_may,black locust,33.5,
point_19,EREC,30_may,black locust_snag,37.5,
point_19,EREC,30_may,black locust,20.1,
point_19,EREC,30_may,black locust,39.5,
point_19,EREC,30_may,honeysuckle,10.8,
point_19,EREC,30_may,honeysuckle,10.5,
point_19,EREC,30_may,honeysuckle,10.3,
point_19,EREC,30_may,honeysuckle,10.5,
point_19,EREC,30_may,honeysuckle,10,
point_19,EREC,30_may,honeysuckle,11.7,
point_19,EREC,30_may,hackberry,12.2,
point_19,EREC,30_may,hackberry,30.3,
point_19,EREC,30_may,hackberry,37.5,
point_19,EREC,30_may,hackberry,19,
point_19,EREC,30_may,hackberry,24.7,
point_19,EREC,30_may,hackberry,53,
point_19,EREC,30_may,hackberry,24.3,
point_19,EREC,30_may,hackberry,37.8,
point_19,EREC,30_may,hackberry,33.3,
point_19,EREC,30_may,hackberry,16,
point_19,EREC,30_may,hackberry,48.9,
point_19,EREC,30_may,hackberry,19,
point_19,EREC,30_may,hackberry,70.5,
point_19,EREC,30_may,hackberry,23.2,
point_20,EREC,30_may,black locust,30.4,
point_20,EREC,30_may,black locust,32.9,
point_20,EREC,30_may,black locust,28.8,
point_20,EREC,30_may,black locust,37.5,
point_20,EREC,30_may,black locust,33.3,
point_20,EREC,30_may,black locust,28.9,
point_20,EREC,30_may,black locust,13.4,
point_20,EREC,30_may,black locust,15.4,
point_20,EREC,30_may,black locust,15.2,
point_20,EREC,30_may,black locust,14.5,
point_20,EREC,30_may,black locust,11.2,
point_20,EREC,30_may,black locust,27.8,
point_20,EREC,30_may,black locust,29.2,
point_20,EREC,30_may,black locust,33.3,
point_20,EREC,30_may,black locust,16.8,
point_20,EREC,30_may,black locust,25.1,
point_20,EREC,30_may,black locust,19.4,
point_20,EREC,30_may,black locust,16,
point_20,EREC,30_may,black locust,37.2,
point_20,EREC,30_may,black locust,29.8,
point_20,EREC,30_may,black locust,14.9,
point_20,EREC,30_may,hackberry,24,
point_20,EREC,30_may,hackberry,36.9,
point_20,EREC,30_may,hackberry,10.6,
point_20,EREC,30_may,hackberry,18.2,
point_20,EREC,30_may,hackberry,25.4,
point_20,EREC,30_may,hackberry,13,
point_20,EREC,30_may,hackberry,20.1,
point_20,EREC,30_may,honeysuckle,10.1,
point_20,EREC,30_may,black cherry,33,
point_21,EREC,15_may,black locust,11.3,
point_21,EREC,15_may,black locust,30,
point_21,EREC,15_may,black locust,29.1,
point_21,EREC,15_may,black locust,17.8,
point_21,EREC,15_may,black locust,26.7,
point_21,EREC,15_may,black locust,30,
point_21,EREC,15_may,black locust,17.3,
point_21,EREC,15_may,honeysuckle,12.2,
point_21,EREC,15_may,honeysuckle,10.2,
point_21,EREC,15_may,honeysuckle,10.5,
point_21,EREC,15_may,honeysuckle,11.3,
point_21,EREC,15_may,honeysuckle,11.1,
point_21,EREC,15_may,hackberry,19.9,
point_21,EREC,15_may,hackberry,14,
point_21,EREC,15_may,hackberry,16.8,
point_21,EREC,15_may,white oak,12.5,
point_21,EREC,15_may,black cherry,19.5,
point_21,EREC,15_may,black cherry,31,
point_21,EREC,15_may,black cherry,13.6,
point_21,EREC,15_may,black cherry,19,
point_21,EREC,15_may,pin oak,20.9,
point_22,EREC,19_may,red oak,13.5,
point_22,EREC,19_may,red oak,12,
point_22,EREC,19_may,black locust,28.3,
point_22,EREC,19_may,black locust,33.7,
point_22,EREC,19_may,black locust,36.3,
point_22,EREC,19_may,black locust,26.5,
point_22,EREC,19_may,white ash,12.4,
point_22,EREC,19_may,white ash,12.3,
point_22,EREC,19_may,white ash,10.5,
point_22,EREC,19_may,white ash,10,
point_22,EREC,19_may,white ash,10.2,
point_23,EREC,19_may,black locust,20.8,
point_23,EREC,19_may,black locust,13.4,
point_23,EREC,19_may,black locust,10.9,
point_23,EREC,19_may,black locust,10.1,
point_23,EREC,19_may,black locust,12.7,
point_23,EREC,19_may,black cherry,11.8,
point_23,EREC,19_may,black cherry,14.8,
point_23,EREC,19_may,black cherry,13.5,
point_23,EREC,19_may,black cherry,11.6,
point_23,EREC,19_may,black cherry,12,
point_23,EREC,19_may,black cherry,23.9,
point_23,EREC,19_may,hackberry,11.1,
point_23,EREC,19_may,hackberry,10.2,
point_23,EREC,19_may,hackberry,19.4,
point_24,EREC,19_june,honeysuckle,19.3,
point_24,EREC,19_june,honeysuckle,12.5,
point_24,EREC,19_june,honeysuckle,17,
point_24,EREC,19_june,honeysuckle,11.1,
point_24,EREC,19_june,black locust,13.7,
point_24,EREC,19_june,black locust,22,
point_24,EREC,19_june,black locust,23.6,
point_24,EREC,19_june,black locust,22.3,
point_24,EREC,19_june,black locust,35,
point_24,EREC,19_june,black locust,25.3,
point_24,EREC,19_june,black locust,41.2,
point_24,EREC,19_june,black locust,18,
point_24,EREC,19_june,black locust,10.5,
point_24,EREC,19_june,black locust,42.2,
point_24,EREC,19_june,black locust,11.7,
point_24,EREC,19_june,black locust,33,
point_24,EREC,19_june,black locust,34.4,
point_24,EREC,19_june,black locust,27,
point_24,EREC,19_june,hackberry,42.2,
point_24,EREC,19_june,hackberry,19.5,
point_24,EREC,19_june,hackberry,13.6,
point_24,EREC,19_june,hackberry,35.3,
point_24,EREC,19_june,hackberry,11.3,
point_24,EREC,19_june,hackberry,43.7,
point_24,EREC,19_june,hackberry,20.9,
point_24,EREC,19_june,hackberry,25,
point_24,EREC,19_june,hackberry,13.4,
point_24,EREC,19_june,black cherry,41.2,
point_24,EREC,19_june,hawthorn,14.9,
point_24,EREC,19_june,hawthorn,16.8,
point_24,EREC,19_june,hawthorn,14.3,
point_24,EREC,19_june,hawthorn,13.3,
point_24,EREC,19_june,hawthorn,12.7,
point_24,EREC,19_june,hawthorn,14,
point_24,EREC,19_june,hawthorn,10.2,
point_24,EREC,19_june,hawthorn,13.1,
point_24,EREC,19_june,hawthorn,12,
point_25,EREC,19_june,black cherry,33.6,
point_25,EREC,19_june,black cherry,34.3,
point_25,EREC,19_june,black cherry,26,
point_25,EREC,19_june,honeysuckle,10.8,
point_25,EREC,19_june,honeysuckle,14.1,
point_25,EREC,19_june,honeysuckle,19.7,
point_25,EREC,19_june,honeysuckle,12.9,
point_25,EREC,19_june,honeysuckle,11.9,
point_25,EREC,19_june,honeysuckle,14.2,
point_25,EREC,19_june,honeysuckle,13.3,
point_25,EREC,19_june,honeysuckle,12.4,
point_25,EREC,19_june,honeysuckle,16,
point_25,EREC,19_june,honeysuckle,11.6,
point_25,EREC,19_june,honeysuckle,12.5,
point_25,EREC,19_june,hackberry,13,
point_26,EREC,20_june,hackberry,26.7,
point_26,EREC,20_june,hackberry,11.6,
point_26,EREC,20_june,hackberry,24.3,
point_26,EREC,20_june,hackberry,25,
point_26,EREC,20_june,hackberry,12.5,
point_26,EREC,20_june,hackberry,41.5,
point_26,EREC,20_june,honeysuckle,13,
point_26,EREC,20_june,honeysuckle,12,
point_26,EREC,20_june,honeysuckle,13.4,
point_26,EREC,20_june,honeysuckle,10.5,
point_26,EREC,20_june,black cherry,21.9,
point_26,EREC,20_june,black cherry,32.4,
point_26,EREC,20_june,black cherry,46.6,
point_26,EREC,20_june,black cherry,21,
point_26,EREC,20_june,black cherry,24.3,
point_26,EREC,20_june,black cherry,37.2,
point_26,EREC,20_june,hackberry,11.3,
point_26,EREC,20_june,hackberry,10.3,
point_26,EREC,20_june,hackberry,11,
point_26,EREC,20_june,hawthorn,10,
point_26,EREC,20_june,hawthorn,16.8,
point_26,EREC,20_june,black locust,14.5,
point_33,EREC,30_may,black cherry,18.9,
point_33,EREC,30_may,black cherry,19.2,
point_33,EREC,30_may,black cherry,14.5,
point_33,EREC,30_may,black cherry,18.8,
point_33,EREC,30_may,black cherry,17.5,
point_33,EREC,30_may,honeysuckle,14.4,
point_33,EREC,30_may,honeysuckle,13.5,
point_33,EREC,30_may,honeysuckle,15,
point_33,EREC,30_may,hackberry,21.6,
point_33,EREC,30_may,hackberry,15.2,
point_33,EREC,30_may,hackberry,28.8,
point_33,EREC,30_may,hackberry,18.1,
point_33,EREC,30_may,hackberry,16.5,
point_33,EREC,30_may,hackberry,20,
point_33,EREC,30_may,hackberry,19.5,
point_33,EREC,30_may,hackberry,25.8,
point_33,EREC,30_may,hackberry,18.3,
point_33,EREC,30_may,hackberry,52.3,
point_33,EREC,30_may,hackberry,30.9,
point_33,EREC,30_may,hackberry,14.9,
point_33,EREC,30_may,hackberry,46.6,
point_33,EREC,30_may,hackberry,41.3,
point_33,EREC,30_may,hackberry,27.6,
point_33,EREC,30_may,hawthorn,34.8,
point_34,EREC,31_may,callery pear,17.2,
point_34,EREC,31_may,honeysuckle,12,
point_34,EREC,31_may,honeysuckle,14.4,
point_34,EREC,31_may,honeysuckle,12,
point_34,EREC,31_may,honeysuckle,10.8,
point_34,EREC,31_may,honeysuckle,10.1,
point_34,EREC,31_may,honeysuckle,15,
point_34,EREC,31_may,black cherry,48.5,
point_34,EREC,31_may,black cherry,19.2,
point_34,EREC,31_may,hackberry,14.4,
point_34,EREC,31_may,hackberry,21.2,
point_35,EREC,31_may,hackberry,22,
point_35,EREC,31_may,hackberry,35.6,
point_35,EREC,31_may,hackberry,12.7,
point_35,EREC,31_may,hackberry,28,
point_35,EREC,31_may,hackberry,34.2,
point_35,EREC,31_may,hackberry,40,
point_35,EREC,31_may,hackberry,29.2,
point_35,EREC,31_may,hackberry,28.2,
point_35,EREC,31_may,hackberry,16.9,
point_35,EREC,31_may,hackberry,28.2,
point_35,EREC,31_may,hackberry,33.8,
point_35,EREC,31_may,hackberry,14.1,
point_35,EREC,31_may,hackberry,24.3,
point_35,EREC,31_may,hackberry,61.3,
point_35,EREC,31_may,hackberry,44,
point_35,EREC,31_may,hackberry,24,
point_35,EREC,31_may,hackberry,14.2,
point_35,EREC,31_may,hackberry,12.2,
point_35,EREC,31_may,hackberry,13.6,
point_35,EREC,31_may,hackberry,56,
point_35,EREC,31_may,black locust_snag,15.1,
point_35,EREC,31_may,black locust_snag,16.2,
point_35,EREC,31_may,black locust_snag,12.4,
point_35,EREC,31_may,black locust_snag,16.8,
point_35,EREC,31_may,black locust_snag,27.3,
point_35,EREC,31_may,black locust_snag,16.8,
